titleId	title	region	language	types	attributes	isOriginalTitle
tt0000129	A Little Rascal	US	\N	\N	informal English title	0
tt0000129	A Little Devil	US	\N	\N	informal English title	0
tt0000132	Card Party	US	\N	imdbDisplay	\N	0
tt0000135	Oh, That Watermelon!	US	\N	alternative	\N	0
tt0000135	A Watermelon Feast	US	\N	imdbDisplay	\N	0
tt0000138	The Bewitched Inn	US	\N	\N	\N	0
tt0000142	Buffalo Bill and Escort	US	\N	imdbDisplay	\N	0
tt0000144	At the Hypnotist's	US	\N	\N	literal English title	0
tt0000147	The Corbett-Fitzsimmons Fight	US	\N	imdbDisplay	\N	0
tt0000149	Behind the Scenes	US	\N	imdbDisplay	\N	0
tt0000152	The Hallucinated Alchemist	US	\N	\N	\N	0
tt0000152	The Alchemist's Hallucination	US	\N	\N	literal title	0
tt0000155	The Hypnotist at Work	US	\N	\N	\N	0
tt0000156	A Badly Managed Hotel	US	\N	imdbDisplay	\N	0
tt0000159	The Devil's Laboratory	US	\N	\N	\N	0
tt0000159	The Laboratory of Mephistopheles	US	\N	\N	\N	0
tt0000173	Battle of Santiago Bay	US	\N	imdbDisplay	\N	0
tt0000177	The Burglar on the Roof	US	\N	imdbDisplay	\N	0
tt0000178	The Cavalier's Dream	US	\N	imdbDisplay	\N	0
tt0000179	The Cave of the Demons	US	\N	\N	\N	0
tt0000184	Cripple Creek Bar-Room Scene	US	\N	imdbDisplay	\N	0
tt0000192	Ella Lola, a la Trilby	US	\N	imdbDisplay	\N	0
tt0000201	Indian War Council	US	\N	imdbDisplay	\N	0
tt0000208	The Miller and Chimney Sweep	US	\N	\N	\N	0
tt0000210	A Novice at X-rays	US	\N	\N	\N	0
tt0000214	Tearing Down the Spanish Flag	US	\N	imdbDisplay	\N	0
tt0000225	Beauty and the Beast	US	\N	\N	\N	0
tt0000228	Wonderful Absinthe	US	\N	dvd	\N	0
tt0000229	Casey at the Bat, or, The Fate of a Rotten Umpire	US	\N	dvd	\N	0
tt0000229	Casey at the Bat	US	\N	imdbDisplay	\N	0
tt0000230	Cinderella	US	\N	imdbDisplay	\N	0
tt0000234	Cleopatra's Tomb	US	\N	\N	\N	0
tt0000234	Robbing Cleopatra's Tomb	US	\N	\N	\N	0
tt0000235	Haggard's She: The Pillar of Fire	US	\N	\N	\N	0
tt0000240	Delivering Newspapers	US	\N	\N	copyright title	0
tt0000240	Distributing a War Extra on Union Square	US	\N	alternative	\N	0
tt0000240	World News Wagon	US	\N	alternative	\N	0
tt0000240	Distributing a War Extra	US	\N	imdbDisplay	\N	0
tt0000242	The Sign of the Cross	US	\N	\N	\N	0
tt0000242	The Devil in a Convent	US	\N	\N	literal English title	0
tt0000245	The Haunted House	US	\N	imdbDisplay	\N	0
tt0000246	L'Illusionniste fin de siècle	US	\N	dvd	\N	0
