titleId,ordering,title,region,language,types,attributes,isOriginalTitle
Rip and the Dwarftt0000076,Rip and the Dwarf,US,\N,\N,copyright title,0
Exit of Rip and the Dwarftt0000076,Exit of Rip and the Dwarf,US,\N,imdbDisplay,\N,0
Towing a Boat on the Rivertt0000081,Towing a Boat on the River,US,\N,imdbDisplay,\N,0
A Hard Washtt0000082,A Hard Wash,US,\N,imdbDisplay,\N,0
A Pickaninny's Battlett0000082,A Pickaninny's Battle,US,\N,alternative,\N,0
Gardener Burning Weedstt0000085,Gardener Burning Weeds,US,\N,\N,\N,0
Beach and Pier at Trouville 1st parttt0000086,Beach and Pier at Trouville 1st part,US,\N,\N,\N,0
Beach and Pier at Trouville 2nd parttt0000087,Beach and Pier at Trouville 2nd part,US,\N,\N,\N,0
Market Daytt0000088,Market Day,US,\N,\N,\N,0
The House of the Deviltt0000091,The House of the Devil,US,\N,\N,\N,0
The Haunted Castlett0000091,The Haunted Castle,US,\N,dvd,\N,0
The Mysterious Papertt0000095,The Mysterious Paper,US,\N,\N,\N,0
Place de l'Opéra First Viewtt0000097,Place de l'Opéra First View,US,\N,\N,\N,0
Place de l'Opéra Second Viewtt0000098,Place de l'Opéra Second View,US,\N,\N,\N,0
The Beach at Villiers in a Galett0000102,The Beach at Villiers in a Gale,US,\N,\N,\N,0
Smarter than the Teachertt0000103,Smarter than the Teacher,US,\N,\N,\N,0
The Docks at Marseillestt0000105,The Docks at Marseilles,US,\N,\N,\N,0
Naval Review at Cherburgtt0000107,Naval Review at Cherburg,US,\N,\N,\N,0
Rip Leaving Sleepy Hollowtt0000108,Rip Leaving Sleepy Hollow,US,\N,imdbDisplay,\N,0
Rip Meeting the Dwarftt0000109,Rip Meeting the Dwarf,US,\N,imdbDisplay,\N,0
Rip Passing Over Hilltt0000110,Rip Passing Over Hill,US,\N,\N,copyright title,0
Rip Passing Over the Mountaintt0000110,Rip Passing Over the Mountain,US,\N,imdbDisplay,\N,0
Rip's Toasttt0000111,Rip's Toast,US,\N,imdbDisplay,\N,0
Rip's Toast to Hudson and Crewtt0000112,Rip's Toast to Hudson and Crew,US,\N,alternative,\N,0
Rip's Toast to Hudsontt0000112,Rip's Toast to Hudson,US,\N,imdbDisplay,\N,0
Rip's Twenty Years' Sleeptt0000113,Rip's Twenty Years' Sleep,US,\N,imdbDisplay,\N,0
French Regiment Going to the Paradett0000114,French Regiment Going to the Parade,US,\N,\N,\N,0
Rescue on the River Pt. 2tt0000119,Rescue on the River Pt. 2,US,\N,\N,\N,0
Rescue on the River Pt. 1tt0000120,Rescue on the River Pt. 1,US,\N,\N,\N,0
Closing Hours at Vibert's Perfume Factorytt0000122,Closing Hours at Vibert's Perfume Factory,US,\N,imdbDisplay,\N,0
Conjuringtt0000123,Conjuring,US,\N,\N,\N,0
Academy for Young Ladiestt0000128,Academy for Young Ladies,US,\N,\N,\N,0
A Little Rascaltt0000129,A Little Rascal,US,\N,\N,informal English title,0
A Little Deviltt0000129,A Little Devil,US,\N,\N,informal English title,0
Card Partytt0000132,Card Party,US,\N,imdbDisplay,\N,0
Oh That Watermelon!tt0000135,Oh That Watermelon!,US,\N,alternative,\N,0
A Watermelon Feasttt0000135,A Watermelon Feast,US,\N,imdbDisplay,\N,0
The Bewitched Inntt0000138,The Bewitched Inn,US,\N,\N,\N,0
Buffalo Bill and Escorttt0000142,Buffalo Bill and Escort,US,\N,imdbDisplay,\N,0
At the Hypnotist'stt0000144,At the Hypnotist's,US,\N,\N,literal English title,0
The Corbett-Fitzsimmons Fighttt0000147,The Corbett-Fitzsimmons Fight,US,\N,imdbDisplay,\N,0
Behind the Scenestt0000149,Behind the Scenes,US,\N,imdbDisplay,\N,0
The Hallucinated Alchemisttt0000152,The Hallucinated Alchemist,US,\N,\N,\N,0
The Alchemist's Hallucinationtt0000152,The Alchemist's Hallucination,US,\N,\N,literal title,0
The Hypnotist at Worktt0000155,The Hypnotist at Work,US,\N,\N,\N,0
A Badly Managed Hoteltt0000156,A Badly Managed Hotel,US,\N,imdbDisplay,\N,0
The Devil's Laboratorytt0000159,The Devil's Laboratory,US,\N,\N,\N,0
The Laboratory of Mephistophelestt0000159,The Laboratory of Mephistopheles,US,\N,\N,\N,0
Battle of Santiago Baytt0000173,Battle of Santiago Bay,US,\N,imdbDisplay,\N,0
The Burglar on the Rooftt0000177,The Burglar on the Roof,US,\N,imdbDisplay,\N,0
The Cavalier's Dreamtt0000178,The Cavalier's Dream,US,\N,imdbDisplay,\N,0
The Cave of the Demonstt0000179,The Cave of the Demons,US,\N,\N,\N,0
Cripple Creek Bar-Room Scenett0000184,Cripple Creek Bar-Room Scene,US,\N,imdbDisplay,\N,0
Ella Lola a la Trilbytt0000192,Ella Lola a la Trilby,US,\N,imdbDisplay,\N,0
Indian War Counciltt0000201,Indian War Council,US,\N,imdbDisplay,\N,0
The Miller and Chimney Sweeptt0000208,The Miller and Chimney Sweep,US,\N,\N,\N,0
A Novice at X-raystt0000210,A Novice at X-rays,US,\N,\N,\N,0
Tearing Down the Spanish Flagtt0000214,Tearing Down the Spanish Flag,US,\N,imdbDisplay,\N,0
Beauty and the Beasttt0000225,Beauty and the Beast,US,\N,\N,\N,0
Wonderful Absinthett0000228,Wonderful Absinthe,US,\N,dvd,\N,0
Casey at the Bat or The Fate of a Rotten Umpirett0000229,Casey at the Bat or The Fate of a Rotten Umpire,US,\N,dvd,\N,0
Casey at the Battt0000229,Casey at the Bat,US,\N,imdbDisplay,\N,0
Cinderellatt0000230,Cinderella,US,\N,imdbDisplay,\N,0
Cleopatra's Tombtt0000234,Cleopatra's Tomb,US,\N,\N,\N,0
Robbing Cleopatra's Tombtt0000234,Robbing Cleopatra's Tomb,US,\N,\N,\N,0
Haggard's She: The Pillar of Firett0000235,Haggard's She: The Pillar of Fire,US,\N,\N,\N,0
Delivering Newspaperstt0000240,Delivering Newspapers,US,\N,\N,copyright title,0
Distributing a War Extra on Union Squarett0000240,Distributing a War Extra on Union Square,US,\N,alternative,\N,0
World News Wagontt0000240,World News Wagon,US,\N,alternative,\N,0
Distributing a War Extratt0000240,Distributing a War Extra,US,\N,imdbDisplay,\N,0
The Sign of the Crosstt0000242,The Sign of the Cross,US,\N,\N,\N,0
The Devil in a Conventtt0000242,The Devil in a Convent,US,\N,\N,literal English title,0
The Haunted Housett0000245,The Haunted House,US,\N,imdbDisplay,\N,0
L'Illusionniste fin de sièclett0000246,L'Illusionniste fin de siècle,US,\N,dvd,\N,0
A Turn of the Century Illusionisttt0000246,A Turn of the Century Illusionist,US,\N,\N,\N,0
An Up-to-Date Conjurortt0000246,An Up-to-Date Conjuror,US,\N,\N,\N,0
The Conjurertt0000246,The Conjurer,US,\N,dvd,\N,0
The King's Death at Winsteadtt0000247,The King's Death at Winstead,US,\N,alternative,\N,0
Beerbohm Tree the Great English Actortt0000247,Beerbohm Tree the Great English Actor,US,\N,alternative,\N,0
A Kiss in the Tunneltt0000248,A Kiss in the Tunnel,US,\N,\N,\N,0
Panorama from the Tower of the Brooklyn Bridgett0000256,Panorama from the Tower of the Brooklyn Bridge,US,\N,imdbDisplay,\N,0
A Midnight Episodett0000261,A Midnight Episode,US,\N,\N,\N,0
Summoning the Spiritstt0000264,Summoning the Spirits,US,\N,\N,\N,0
Chimmie Hicks at the Racestt0000265,Chimmie Hicks at the Races,US,\N,\N,copyright title,0
Above the Limittt0000265,Above the Limit,US,\N,imdbDisplay,\N,0
Above the Speedwaytt0000266,Above the Speedway,US,\N,imdbDisplay,\N,0
The Professor and His Field Glasstt0000272,The Professor and His Field Glass,US,\N,alternative,\N,0
Buffalo Bill's Show Paradett0000278,Buffalo Bill's Show Parade,US,\N,imdbDisplay,\N,0
Buffalo Bill's Wild West Paradett0000279,Buffalo Bill's Wild West Parade,US,\N,imdbDisplay,\N,0
Buffalo Bill's Wild West Paradett0000280,Buffalo Bill's Wild West Parade,US,\N,imdbDisplay,\N,0
Buffalo Bill's Wild West Showtt0000281,Buffalo Bill's Wild West Show,US,\N,imdbDisplay,\N,0
At the Photographer'stt0000284,At the Photographer's,US,\N,dvd,\N,0
Turn-of-the-Century Surgerytt0000286,Turn-of-the-Century Surgery,US,\N,dvd,\N,0
The Clown and the Alchemisttt0000287,The Clown and the Alchemist,US,\N,imdbDisplay,\N,0
The Enchanted Drawingtt0000300,The Enchanted Drawing,US,\N,imdbDisplay,\N,0
Faust and Margueritett0000301,Faust and Marguerite,US,\N,imdbDisplay,\N,0
The Cabbage-Patch Fairytt0000302,The Cabbage-Patch Fairy,US,\N,dvd,\N,0
Hamlet Duel Scene with Laertestt0000306,Hamlet Duel Scene with Laertes,US,\N,\N,reissue title,0
Happy Hooligantt0000307,Happy Hooligan,US,\N,imdbDisplay,\N,0
The House That Jack Builttt0000308,The House That Jack Built,US,\N,imdbDisplay,\N,0
