titleId,ordering,title,regionclanguage,types,attributes,isOriginalTitle
tt0000119,2,Rescue on the River Pt. 2,USc\N,\N,\N,0
tt0000120,3,Rescue on the River Pt. 1,USc\N,\N,\N,0
tt0000122,1,Closing Hours at Vibert's Perfume Factory,USc\N,imdbDisplay,\N,0
tt0000123,2,Conjuring,USc\N,\N,\N,0
tt0000128,1,Academy for Young Ladies,USc\N,\N,\N,0
tt0000129,1,A Little Rascal,USc\N,\N,informal English title,0
tt0000129,4,A Little Devil,USc\N,\N,informal English title,0
tt0000132,10,Card Party,USc\N,imdbDisplay,\N,0
tt0000135,1,Oh That Watermelon!,USc\N,alternative,\N,0
tt0000135,3,A Watermelon Feast,USc\N,imdbDisplay,\N,0
tt0000138,3,The Bewitched Inn,USc\N,\N,\N,0
tt0000142,2,Buffalo Bill and Escort,USc\N,imdbDisplay,\N,0
tt0000144,4,At the Hypnotist's,USc\N,\N,literal English title,0
tt0000147,1,The Corbett-Fitzsimmons Fight,USc\N,imdbDisplay,\N,0
tt0000149,3,Behind the Scenes,USc\N,imdbDisplay,\N,0
tt0000152,3,The Hallucinated Alchemist,USc\N,\N,\N,0
tt0000152,5,The Alchemist's Hallucination,USc\N,\N,literal title,0
tt0000155,4,The Hypnotist at Work,USc\N,\N,\N,0
tt0000156,5,A Badly Managed Hotel,USc\N,imdbDisplay,\N,0
tt0000159,3,The Devil's Laboratory,USc\N,\N,\N,0
tt0000159,5,The Laboratory of Mephistopheles,USc\N,\N,\N,0
tt0000173,2,Battle of Santiago Bay,USc\N,imdbDisplay,\N,0
tt0000177,1,The Burglar on the Roof,USc\N,imdbDisplay,\N,0
tt0000178,1,The Cavalier's Dream,USc\N,imdbDisplay,\N,0
tt0000179,1,The Cave of the Demons,USc\N,\N,\N,0
tt0000184,1,Cripple Creek Bar-Room Scene,USc\N,imdbDisplay,\N,0
tt0000192,2,Ella Lola a la Trilby,USc\N,imdbDisplay,\N,0
tt0000201,1,Indian War Council,USc\N,imdbDisplay,\N,0
tt0000208,6,The Miller and Chimney Sweep,USc\N,\N,\N,0
tt0000210,1,A Novice at X-rays,USc\N,\N,\N,0
tt0000214,2,Tearing Down the Spanish Flag,USc\N,imdbDisplay,\N,0
tt0000225,3,Beauty and the Beast,USc\N,\N,\N,0
tt0000228,6,Wonderful Absinthe,USc\N,dvd,\N,0
tt0000229,1,Casey at the Bat or The Fate of a Rotten Umpire,USc\N,dvd,\N,0
tt0000229,2,Casey at the Bat,USc\N,imdbDisplay,\N,0
tt0000230,12,Cinderella,USc\N,imdbDisplay,\N,0
tt0000234,3,Cleopatra's Tomb,USc\N,\N,\N,0
tt0000234,4,Robbing Cleopatra's Tomb,USc\N,\N,\N,0
tt0000235,2,Haggard's She: The Pillar of Fire,USc\N,\N,\N,0
tt0000240,1,Delivering Newspapers,USc\N,\N,copyright title,0
tt0000240,2,Distributing a War Extra on Union Square,USc\N,alternative,\N,0
tt0000240,3,World News Wagon,USc\N,alternative,\N,0
tt0000240,6,Distributing a War Extra,USc\N,imdbDisplay,\N,0
tt0000242,1,The Sign of the Cross,USc\N,\N,\N,0
tt0000242,2,The Devil in a Convent,USc\N,\N,literal English title,0
tt0000245,2,The Haunted House,USc\N,imdbDisplay,\N,0
tt0000246,2,L'Illusionniste fin de siècle,USc\N,dvd,\N,0
tt0000246,7,A Turn of the Century Illusionist,USc\N,\N,\N,0
tt0000246,8,An Up-to-Date Conjuror,USc\N,\N,\N,0
tt0000246,9,The Conjurer,USc\N,dvd,\N,0
tt0000247,1,The King's Death at Winstead,USc\N,alternative,\N,0
tt0000247,4,Beerbohm Tree the Great English Actor,USc\N,alternative,\N,0
tt0000248,8,A Kiss in the Tunnel,USc\N,\N,\N,0
tt0000256,2,Panorama from the Tower of the Brooklyn Bridge,USc\N,imdbDisplay,\N,0
tt0000261,2,A Midnight Episode,USc\N,\N,\N,0
tt0000264,2,Summoning the Spirits,USc\N,\N,\N,0
tt0000265,1,Chimmie Hicks at the Races,USc\N,\N,copyright title,0
tt0000265,2,Above the Limit,USc\N,imdbDisplay,\N,0
tt0000266,2,Above the Speedway,USc\N,imdbDisplay,\N,0
tt0000272,2,The Professor and His Field Glass,USc\N,alternative,\N,0
tt0000278,1,Buffalo Bill's Show Parade,USc\N,imdbDisplay,\N,0
tt0000279,1,Buffalo Bill's Wild West Parade,USc\N,imdbDisplay,\N,0
tt0000280,1,Buffalo Bill's Wild West Parade,USc\N,imdbDisplay,\N,0
tt0000281,1,Buffalo Bill's Wild West Show,USc\N,imdbDisplay,\N,0
tt0000284,1,At the Photographer's,USc\N,dvd,\N,0
tt0000286,2,Turn-of-the-Century Surgery,USc\N,dvd,\N,0
tt0000287,3,The Clown and the Alchemist,USc\N,imdbDisplay,\N,0
tt0000300,3,The Enchanted Drawing,USc\N,imdbDisplay,\N,0
tt0000301,3,Faust and Marguerite,USc\N,imdbDisplay,\N,0
tt0000302,6,The Cabbage-Patch Fairy,USc\N,dvd,\N,0
tt0000306,5,Hamlet Duel Scene with Laertes,USc\N,\N,reissue title,0
tt0000307,1,Happy Hooligan,USc\N,imdbDisplay,\N,0
tt0000308,3,The House That Jack Built,USc\N,imdbDisplay,\N,0
tt0000310,1,Chimmie Hicks and the Rum Omelet,USc\N,imdbDisplay,\N,0
tt0000321,2,The Mystic Swing,USc\N,imdbDisplay,\N,0
tt0000340,1,Uncle Josh in a Spooky Hotel,USc\N,imdbDisplay,\N,0
tt0000341,1,Uncle Josh's Nightmare,USc\N,imdbDisplay,\N,0
tt0000346,1,Another Job for the Undertaker,USc\N,imdbDisplay,\N,0
tt0000347,1,Buffalo Bill's Wild West Parade,USc\N,imdbDisplay,\N,0
tt0000350,6,The Countryman's First Sight of the Animated Pictures,USc\N,\N,\N,0
tt0000352,1,Day at the Circus,USc\N,imdbDisplay,\N,0
tt0000353,1,Execution of Czolgosz with Panorama of Auburn Prison,USc\N,imdbDisplay,\N,0
tt0000358,3,Story of a Crime,USc\N,\N,\N,0
tt0000358,4,History of a Crime,USc\N,\N,\N,0
tt0000363,4,Magical Sword,USc\N,\N,\N,0
tt0000364,2,Panorama of Esplanade by Night,USc\N,imdbDisplay,\N,0
tt0000368,5,Little Red Riding Hood,USc\N,\N,\N,0
tt0000369,3,A Road for Children's Bicycles in Barcelona,USc\N,imdbDisplay,\N,0
tt0000372,2,Scène d'ivresse,USc\N,imdbDisplay,\N,0
